Timestamp,What type of smartphone you use?,What type of bank accounts and services you currently engage with? Select all that applies.,How many Mobile Banking Apps currently setup in your smartphone?,How long have you been using Mobile Banking Apps in your smartphone? (Answer in years),"On average, how often do you use Mobile Banking Apps in your smartphone?",What are the tasks that you do using Mobile Banking Apps setup in your smartphone?,What are the types of bills you pay with your Mobile Banking Apps? Select all that applies.,What tasks you do with your Mobile Banking Apps related to credit cards? Select all that applies.,What tasks you do with your Mobile Banking Apps related to fixed deposits? Select all that applies.,What is your experience on the extent of the ease of use of Mobile Banking Apps?,How do you feel about the security of using Mobile Banking Apps?,How satisfied are you with your overall usage of Mobile Banking Apps?,How likely is to recommend the usage of Mobile Banking Apps to your friends and colleagues?,Gender,Age (in years),Closest city,Current Job,"How long have you been working? (including the time for previous jobs, if any). Answer in years.",Education up to ?,Which of the following social media sites that you visit most?,"On average how, much time do you spend on social media daily?"
29/11/2020 22:19:42,Apple,"Savings accounts, Loans",2,2,Several Times a month,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Checking loan balance","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,5,4,5,Female,26,Kurunegala,Research Assistant ,2,Master’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Twitter, Whatsapp",4 hours or more
29/11/2020 22:20:20,Apple,Savings accounts,1,2,Several Times a month,"Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)",Internet bills,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,3,4,Female,25,Colombo,Lecturer ,1,Master’s Degree,"Facebook, YouTube, Instagram, Whatsapp",2 hours
29/11/2020 22:22:59,Android,Savings accounts,1,0,Hardly,Checking savings account balance,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,2,3,3,3,Female,27,Kalutara ,Doctor ,1,Bachelor’s Degree,"Facebook, YouTube, Whatsapp, Viber",2 hours
29/11/2020 22:24:35,Android,"Savings accounts, Fixed Deposits",1,2,Weekly,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,3,3,3,Female,23,Colombo ,Student,0,Bachelor’s Degree,Instagram,3 hours
29/11/2020 22:38:14,Android,"Savings accounts, Current Accounts, Loans",5,2,Weekly,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Checking loan balance","Mobile/Telephone bills, Internet bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,2,3,3,3,Male,27,Walasmulla,Software Engineer,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",2 hours
29/11/2020 22:38:17,Apple,Savings accounts,3,3,Daily,Checking savings account balance,"Mobile/Telephone bills, Internet bills, Electricity bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,5,5,Male,30,Dehiowita,Seller,4,After O/L Diploma,"Facebook, YouTube, Whatsapp, Viber",1 hour
29/11/2020 22:39:00,Android,"Savings accounts, Credit Cards, Loans",2,3,Daily,"Checking savings account balance, Checking credit card statement",I don’t pay my bills using Mobile Banking Apps,To check my credit card balance,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,3,4,4,Male,35,Galle,Banker,10,Bachelor’s Degree,"YouTube, Whatsapp",1 hour
29/11/2020 22:44:20,Apple,"Savings accounts, Fixed Deposits, Credit Cards, Loans",4,4,Daily,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits, Checking loan balance","Mobile/Telephone bills, Internet bills","To check my credit card balance, To settle my credit card balance, To check for credit card promotions","To view my existing fixed deposits, To open new fixed deposits, To settle matured fixed deposits",5,5,5,4,Male,31,Colombo,Marketing Executive,7,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Twitter, Whatsapp, Viber",3 hours
29/11/2020 23:26:45,Android,"Savings accounts, Fixed Deposits",0,0,Hardly,Checking savings account balance,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,1,1,1,1,Female,25,Mattegoda,Student,6,Bachelor’s Degree,Facebook,Less than 1 hour
29/11/2020 23:35:02,Android,Savings accounts,3,2,Weekly,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits",I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,3,4,4,Male,24,Ratnapura,Developer,1,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Twitter, Whatsapp",3 hours
29/11/2020 23:35:58,Android,Savings accounts,1,1,Hardly,Checking savings account balance,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,2,2,2,1,Male,38,Kegalle,Land Officer,15,After A/L Diploma,Whatsapp,Less than 1 hour
29/11/2020 23:37:38,Android,"Savings accounts, Current Accounts",2,1,Once a month,Checking savings account balance,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,3,3,2,3,Female,29,Colombo,Government Clerk,4,After A/L Diploma,"Facebook, YouTube, Instagram",3 hours
29/11/2020 23:39:25,Apple,"Savings accounts, Current Accounts, Fixed Deposits, Credit Cards, Loans",3,2,Several Times a month,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits, Checking loan balance","Mobile/Telephone bills, Internet bills",To check my credit card balance,To view my existing fixed deposits,4,4,4,4,Male,32,Ratnapura,Nurse,9,After A/L Diploma,"Facebook, Whatsapp, Viber",1 hour
29/11/2020 23:41:23,Android,"Savings accounts, Loans",3,3,Once a month,"Checking savings account balance, Checking loan balance",I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,5,5,Female,33,Embilipitiya,Teacher,8,After A/L Diploma,"Facebook, YouTube, Whatsapp, Viber",4 hours or more
29/11/2020 23:42:21,Android,"Savings accounts, Fixed Deposits, Loans",2,3,Several Times a month,"Checking savings account balance, Transferirng money to other accounts, Managing Fixed Deposits, Checking loan balance",I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,To view my existing fixed deposits,4,4,4,3,Male,33,Kahawattha,Teacher,9,After A/L Diploma,"Facebook, Whatsapp, Viber",4 hours or more
29/11/2020 23:43:31,Apple,"Savings accounts, Credit Cards, Loans",1,4,Several Times a month,"Checking savings account balance, Checking credit card statement, Checking loan balance",I don’t pay my bills using Mobile Banking Apps,"To check my credit card balance, To check for credit card promotions",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,3,3,5,Male,27,Kuruwita,Teacher,2,After A/L Diploma,"Facebook, YouTube, Whatsapp, Viber",3 hours
29/11/2020 23:44:41,Apple,"Savings accounts, Fixed Deposits, Credit Cards",3,4,Several Times a month,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits",Internet bills,To check my credit card balance,To view my existing fixed deposits,5,4,3,3,Male,29,Ratnapura,Insurance Agent,4,After A/L Diploma,"LinkedIn, Facebook, YouTube, Instagram, Twitter, Whatsapp, Viber",4 hours or more
29/11/2020 23:55:45,Android,Savings accounts,1,3,Weekly,Checking savings account balance,"Mobile/Telephone bills, Electricity bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,5,5,Female,31,Rathnapura ,Teacher,4,After A/L Diploma,"Facebook, Whatsapp, Viber",Less than 1 hour
29/11/2020 23:58:39,Android,"Savings accounts, Credit Cards",2,3,Daily,"Checking savings account balance, Checking credit card statement","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,5,5,Male,35,Kegalle,Engineer,8,Bachelor’s Degree,"Facebook, YouTube, Whatsapp, Viber",1 hour
30/11/2020 00:01:13,Apple,"Savings accounts, Fixed Deposits, Credit Cards",2,3,Daily,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","To check my credit card balance, To settle my credit card balance","To view my existing fixed deposits, To open new fixed deposits",5,5,5,5,Male,40,Rathnapura ,Business,10,G.C.E. (A/L),"Facebook, YouTube, Instagram, Whatsapp, Viber",1 hour
30/11/2020 00:30:14,Android,"Savings accounts, Current Accounts, Fixed Deposits, Credit Cards, Loans",2,3,Several Times a month,"Checking savings account balance, Checking credit card statement",I don’t pay my bills using Mobile Banking Apps,To check my credit card balance,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,4,4,4,Male,30,Rajagiriya,Structural Engineer ,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Whatsapp, Viber",2 hours
30/11/2020 00:36:27,Android,"Savings accounts, Fixed Deposits",2,1,Several Times a month,"Checking savings account balance, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,2,2,4,4,Female,30,Matugama,#,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Twitter, Whatsapp, Viber",4 hours or more
30/11/2020 02:43:20,Android,Savings accounts,1,1,Weekly,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,5,5,Female,25,Kurunegala ,Designer ,1,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",2 hours
30/11/2020 06:13:04,Apple,"Savings accounts, Current Accounts, Credit Cards, Loans",2,5,Daily,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Checking loan balance","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","To check my credit card balance, To settle my credit card balance, To check for credit card promotions","To view my existing fixed deposits, To open new fixed deposits, To settle matured fixed deposits",4,4,4,4,Female,32,Colombo,Developer,7,Bachelor’s Degree,"LinkedIn, Facebook, Instagram, Viber",1 hour
30/11/2020 06:24:39,Android,Savings accounts,1,1,Daily,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)",Mobile/Telephone bills,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,5,4,5,Female,28,Ratnapura,Doctor,1,Bachelor’s Degree,"Facebook, YouTube, Whatsapp, Viber",1 hour
30/11/2020 07:47:49,Apple,"Savings accounts, Fixed Deposits",2,5,Weekly,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills",I don’t engage in credit card related tasks using Mobile Banking Apps,To view my existing fixed deposits,5,5,5,5,Female,27,Colombo,Consultant,3,Master’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",1 hour
30/11/2020 08:34:58,Apple,Savings accounts,2,4,Daily,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits","Mobile/Telephone bills, Internet bills",I don’t engage in credit card related tasks using Mobile Banking Apps,"To view my existing fixed deposits, To open new fixed deposits, To settle matured fixed deposits",4,5,4,5,Male,23,Matara,none - undergraduate ,1,Bachelor’s Degree,"Facebook, YouTube, Instagram, Whatsapp",2 hours
30/11/2020 08:49:12,Android,Savings accounts,1,0,Daily,Checking savings account balance,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,5,3,4,Male,28,colombo,HSE Officer,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",4 hours or more
30/11/2020 08:55:10,Android,"Savings accounts, Fixed Deposits",1,1,Several Times a month,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)",Mobile/Telephone bills,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,4,4,Female,30,Colombo,Civil Engineer,6,Bachelor’s Degree,"Facebook, YouTube, Instagram, Whatsapp",2 hours
30/11/2020 09:08:07,Apple,"Savings accounts, Current Accounts, Credit Cards, Loans",4,4,Weekly,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Checking loan balance","Mobile/Telephone bills, Internet bills","To check my credit card balance, To settle my credit card balance",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,3,4,4,5,Male,29,Colombo,Senior Technical Consultant,4,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Whatsapp",2 hours
30/11/2020 09:29:46,Apple,"Savings accounts, Fixed Deposits, Credit Cards",7,3,Weekly,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills","To check my credit card balance, To settle my credit card balance",To view my existing fixed deposits,4,4,4,4,Female,28,Galle,Senior Software Engineer,3,Master’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",3 hours
30/11/2020 09:31:55,Android,Savings accounts,1,4,Several Times a month,"Checking savings account balance, Transferirng money to other accounts",Internet bills,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,3,4,4,Male,25,Mirigama ,Assistant Lecturer ,1,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Whatsapp, Viber",2 hours
30/11/2020 09:44:43,Android,"Savings accounts, Loans",2,2,Weekly,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Checking loan balance",Mobile/Telephone bills,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,3,4,5,Male,28,Aluthagama,Executive,4,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",1 hour
30/11/2020 09:48:02,Apple,Savings accounts,1,2,Weekly,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits, Checking loan balance","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","To check my credit card balance, To settle my credit card balance, To check for credit card promotions",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,5,4,5,Male,26,Kaluthara,Associate Software engineer,1,Bachelor’s Degree,Facebook,Less than 1 hour
30/11/2020 09:48:53,Apple,Savings accounts,1,1,Hardly,"Checking savings account balance, Transferirng money to other accounts",I don’t pay my bills using Mobile Banking Apps,To settle my credit card balance,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,4,4,Male,26,Rathnapure ,Buisness ,2,After A/L Diploma,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",4 hours or more
30/11/2020 09:50:44,Android,Savings accounts,4,3,Weekly,"Checking savings account balance, Transferirng money to other accounts","Mobile/Telephone bills, Internet bills",To check my credit card balance,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,4,4,5,Male,24,Ratnapura ,Student ,0,Bachelor’s Degree,"LinkedIn, YouTube",2 hours
30/11/2020 09:54:22,Android,"Savings accounts, Current Accounts, Credit Cards",2,1,Weekly,"Checking savings account balance, Checking credit card statement, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills","To check my credit card balance, To check for credit card promotions",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,3,3,4,3,Male,29,Piliyandala,Lecturer,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Whatsapp",Less than 1 hour
30/11/2020 09:57:10,Android,"Savings accounts, Loans",2,1,Weekly,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Checking loan balance","Mobile/Telephone bills, Internet bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,5,5,Male,23,Dehiwala ,Student ,0,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",2 hours
30/11/2020 10:07:09,Android,Savings accounts,1,3,Several Times a month,"Checking savings account balance, Transferirng money to other accounts","Mobile/Telephone bills, Electricity bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,5,4,Male,28,Pelmadulla ,Bussiness,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp, Viber",3 hours
30/11/2020 10:09:21,Apple,Savings accounts,3,2,Once a month,Transferirng money to other accounts,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,4,5,Male,24,Maharagama,Freelancer,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Twitter, Whatsapp",4 hours or more
30/11/2020 10:10:27,Android,Savings accounts,1,2,Daily,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills",To settle my credit card balance,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,3,4,4,Male,30,Galle ,Engineer,3,Bachelor’s Degree,"Facebook, YouTube",3 hours
30/11/2020 10:13:10,Android,"Savings accounts, Loans",1,1,Once a month,"Checking savings account balance, Transferirng money to other accounts",I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,3,4,4,4,Male,24,Chilaw,Student,4,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Whatsapp",Less than 1 hour
30/11/2020 10:37:53,Apple,Savings accounts,2,2,Daily,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,5,5,Male,28,Homagama,Assistant Design Engineer,2,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Twitter, Whatsapp, Viber",3 hours
30/11/2020 11:01:53,Android,"Savings accounts, Fixed Deposits, Credit Cards",1,1,Several Times a month,"Checking savings account balance, Checking credit card statement",I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,3,3,Female,24,Matara,No,0,Bachelor’s Degree,"LinkedIn, Facebook, Whatsapp, Viber",3 hours
30/11/2020 11:15:55,Android,Savings accounts,2,5,Daily,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,4,4,5,Male,28,Embiliptiya,Teacher,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Twitter, Whatsapp",2 hours
30/11/2020 11:25:09,Android,"Savings accounts, Fixed Deposits, Loans",1,1,Weekly,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits, Checking loan balance","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","To check my credit card balance, To check for credit card promotions",To view my existing fixed deposits,5,4,5,5,Male,28,Kuruwita ,Government  Servent,1,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp, Viber",3 hours
30/11/2020 11:41:38,Apple,"Savings accounts, Current Accounts, Credit Cards",2,2,Daily,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills",To check my credit card balance,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,3,5,5,Male,24,Kurunegala,Student,0,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",2 hours
30/11/2020 11:51:29,Android,Savings accounts,1,1,Weekly,"Checking savings account balance, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)",Internet bills,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,5,4,4,Male,28,Matara,Instructor in Physical Education,3,Bachelor’s Degree,"Facebook, YouTube, Whatsapp, Viber",2 hours
30/11/2020 11:57:41,Android,"Savings accounts, Current Accounts",1,1,Several Times a month,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Electricity bills, Water bills",To settle my credit card balance,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,3,4,5,Female,32,Kiribathgoda,Engineer,6,Master’s Degree,"Facebook, YouTube, Whatsapp, Viber",1 hour
30/11/2020 12:18:38,Android,"Savings accounts, Fixed Deposits, Credit Cards",4,3,Daily,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","To check my credit card balance, To settle my credit card balance, To check for credit card promotions",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,3,4,5,Male,28,Ratnapura ,Electrical Engineer ,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Twitter, Whatsapp",2 hours
30/11/2020 14:39:49,Android,Savings accounts,3,3,Weekly,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Managing Fixed Deposits","Mobile/Telephone bills, Internet bills","To check my credit card balance, To settle my credit card balance","To view my existing fixed deposits, To open new fixed deposits",3,2,4,5,Male,28,Ratnapura ,Engineer ,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Whatsapp",2 hours
30/11/2020 17:04:47,Android,Savings accounts,2,3,Several Times a month,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","I don’t engage in credit card related tasks using Mobile Banking Apps, To settle my credit card balance","To view my existing fixed deposits, To open new fixed deposits",3,4,2,3,Male,23,Balangoda,Student,0,Bachelor’s Degree,"LinkedIn, Facebook, Whatsapp, Viber",2 hours
30/11/2020 17:32:39,Android,Savings accounts,2,1,Several Times a month,"Checking savings account balance, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,3,5,5,Male,28,Nuwaraeliye,Teaching assistant,2,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Whatsapp",3 hours
30/11/2020 18:06:04,Android,"Savings accounts, Fixed Deposits",2,4,Several Times a month,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills",I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,3,5,4,Male,28,Kuliyapitiya ,Student ,2,Master’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Twitter, Whatsapp",3 hours
01/12/2020 00:08:36,Android,"Savings accounts, Credit Cards",1,3,Several Times a month,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc)","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","To check my credit card balance, To settle my credit card balance",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,4,4,4,5,Female,27,Nugegoda,Project Assistant,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp, Viber",3 hours
02/12/2020 05:03:08,Android,Savings accounts,1,1,Several Times a month,Checking savings account balance,I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,4,4,4,Female,24,Ratnapura ,HR manager ,1,After A/L Diploma,"Facebook, Whatsapp",1 hour
02/12/2020 23:18:56,Android,"Savings accounts, Credit Cards, Loans",3,3,Weekly,"Checking savings account balance, Checking credit card statement, Transferirng money to other accounts, Paying bills (Eg. Mobile reload, Phone, Electricity, Water bills etc), Checking loan balance","Mobile/Telephone bills, Internet bills, Electricity bills, Water bills","To check my credit card balance, To settle my credit card balance, To check for credit card promotions",I don’t engage in fixed deposit related tasks using Mobile Banking Apps,5,4,5,5,Male,28,Ratnapura ,Surveyor ,3,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Instagram, Whatsapp",3 hours
04/12/2020 01:07:13,Apple,"Savings accounts, Fixed Deposits, Loans",1,6,Several Times a month,"Checking savings account balance, Transferirng money to other accounts",I don’t pay my bills using Mobile Banking Apps,I don’t engage in credit card related tasks using Mobile Banking Apps,I don’t engage in fixed deposit related tasks using Mobile Banking Apps,3,2,3,3,Male,30,Kurunegala ,Software Engineer ,4,Bachelor’s Degree,"LinkedIn, Facebook, YouTube, Whatsapp",Less than 1 hour